"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"HAM+LOG+QUA+RAN",66,460,1,408,1,0.0828,1,0.5,1
"KNN+NON+CUB+POW",67,543,1,337,1,0.0932,1,0.5208,1
"MDI+CUT+CUB+LEV",68,215,1,667,1,0.0197,1,0.4292,1
"KNN+NON+QUA+RAN",69,642,1,255,1,0.1027,1,0.55,1
"MEI+NON+QUA+POW",70,360,1,549,1,0.0471,1,0.4667,1
"MEI+CUT+CUB+PAR",71,458,1,456,1,0.0823,1,0.4917,1
"KNN+CUT+CUB+PAR",72,530,1,388,1,0.091,1,0.5167,1
"KNN+NON+QUA+LEV",73,666,1,255,1,0.1059,1,0.55,1
"KNN+CUT+LIW+POW",74,218,1,708,1,0.0203,1,0.4125,1
"KNN+LOG+EIG+NON",75,778,1,153,1,0.1239,1,0.6083,1
"MEI+LOG+RAN+EIG",76,429,1,509,1,0.0675,1,0.4792,1
"MDI+NON+CUB+LEV",77,388,1,555,1,0.0581,1,0.4625,1
"KNN+NON+QUA+POW",78,606,1,342,1,0.1005,1,0.5208,1
"KNN+LOG+PAR+EIG",79,827,1,126,1,0.1489,1,0.6167,1
"KNN+NON+MST+PAR",80,150,495,321,1,0.0041,0.9444,0.525,1
"MDI+NON+QUA+POW",81,345,1,633,1,0.0461,1,0.4375,1
"KNN+LOG+QUA+RAN",82,636,1,342,1,0.1023,1,0.5208,1
"MDI+NON+CUB+NON",83,424,1,555,1,0.0666,1,0.4625,1
"HAM+NON+LIW+LEV",84,828,1,153,1,0.1493,1,0.6083,1
"MEI+LOG+MEA+RAN",85,691,1,292,1,0.1084,1,0.5375,1
"MEI+NON+MST+NON",86,74,1,910,1,1e-04,1,0.3167,1
"KNN+CUT+QUA+RAN",87,643,1,342,1,0.1027,1,0.5208,1
"KNN+LOG+EIG+PAR",88,833,1,153,1,0.1556,1,0.6083,1
"MEI+LOG+CUB+NON",89,562,1,426,1,0.0959,1,0.4958,1
"KNN+CUT+CUB+RAN",90,627,1,365,1,0.102,1,0.5167,1
"KNN+NON+CUB+RAN",91,628,1,365,1,0.1021,1,0.5167,1
"KNN+LOG+CUB+RAN",92,629,1,365,1,0.1021,1,0.5167,1
